place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
abilene-tx,191,4.04,21.28,2.0,14.98,70.97,16.37,40.39,23.51,0.0,12.75,2.0
akron-oh,1189,4.37,36.83,15.81,45.44,31.43,62.3,124.8,92.59,0.0,24.16,26.67
alafaya-fl,3356,4.31,61.9,35.22,208.64,97.4,75.29,140.55,89.08,55.11,78.59,63.52
alameda-ca,3177,4.42,50.51,53.49,119.77,91.95,41.5,270.48,253.61,24.29,111.44,67.02
albany-ga,80,4.03,9.58,0.0,12.34,39.01,9.58,27.49,7.75,2.58,0.0,4.17
albany-ny,999,4.27,33.11,1.0,16.05,57.61,49.57,95.42,59.94,13.91,75.64,13.01
albany-or,375,4.17,36.45,0.0,31.05,37.7,16.66,32.51,17.17,18.14,9.0,13.5
alexandria-va,5008,4.59,68.6,91.94,46.76,106.76,61.88,497.25,234.59,22.36,137.84,31.53
allen-tx,3346,4.35,90.03,80.3,102.3,99.13,34.09,114.46,124.35,9.72,101.59,54.32
allentown-pa,963,4.09,80.58,2.0,76.67,58.24,23.56,132.94,57.18,22.4,30.06,46.09
alpharetta-ga,2959,4.38,85.85,52.62,94.76,189.02,82.89,197.52,167.69,19.53,243.5,39.68
amarillo-tx,500,4.11,20.94,0.0,24.69,49.53,23.36,38.31,48.57,12.17,17.09,18.47
ames-ia,638,4.25,23.55,9.4,43.59,24.43,19.04,72.54,59.75,0.0,18.09,9.3
anaheim-ca,4441,4.45,89.38,17.01,121.61,96.69,82.6,205.74,145.15,48.71,129.64,55.73
anchorage-ak,107,3.87,1.0,0.0,18.0,16.34,7.17,24.38,22.72,5.58,8.78,4.58
anderson-in,1779,4.32,72.95,43.37,41.15,61.24,126.77,161.95,119.62,30.11,89.72,12.49
ann-arbor-mi,2032,4.34,71.33,31.99,76.48,62.79,105.45,149.34,149.46,12.99,90.64,12.61
antioch-ca,1307,4.44,47.58,7.83,61.39,83.4,40.18,128.29,117.01,19.38,57.17,21.14
apple-valley-ca,1043,4.24,71.68,0.0,26.05,82.65,77.25,60.19,48.0,16.09,58.84,26.49
appleton-wi,1015,4.38,50.79,0.0,52.11,41.66,39.68,43.48,40.17,24.95,37.97,15.16
arcadia-ca,8604,4.61,86.83,58.74,147.35,73.17,105.65,276.84,278.31,39.05,220.68,50.39
arden-arcade-ca,862,4.02,37.19,33.61,63.83,89.23,45.56,145.73,92.96,15.17,62.73,18.72
